Item_Fat_Content,Item_MRP,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
0,218.2166,Breads,0.035414528,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,260.0594,Frozen Foods,0.022864238,6.85,1987,OUT013,Tier 3,High,Supermarket Type1
0,116.5466,Snack Foods,0.054011943,20.35,1987,OUT013,Tier 3,High,Supermarket Type1
1,158.9578,Snack Foods,0.117462619,9.195,2004,OUT035,Tier 2,Small,Supermarket Type1
0,158.8604,Health and Hygiene,0.11411658,9.695,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,206.7954,Frozen Foods,0.046124444,,1985,OUT019,Tier 1,Small,Grocery Store
1,85.1908,Snack Foods,0.075849167,11.65,1997,OUT046,Tier 1,Small,Supermarket Type1
1,188.324,Baking Goods,0.065729039,6.035,1987,OUT013,Tier 3,High,Supermarket Type1
0,221.8456,Household,0.097865088,18.2,1998,OUT010,Tier 3,,Grocery Store
0,110.4912,Household,0.058827582999999996,,1985,OUT019,Tier 1,Small,Grocery Store
0,93.3436,Soft Drinks,0.061313057000000004,7.63,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,33.2874,Snack Foods,0.123961415,6.385,2002,OUT045,Tier 2,,Supermarket Type1
1,187.3872,Snack Foods,0.014270393999999999,9.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,75.0696,Frozen Foods,0.060847634000000005,20.5,1998,OUT010,Tier 3,,Grocery Store
0,253.0356,Fruits and Vegetables,0.0,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,225.4746,Household,0.014103353999999999,18.35,2007,OUT017,Tier 2,,Supermarket Type1
0,56.2614,Soft Drinks,0.033901442000000004,19.6,1997,OUT046,Tier 1,Small,Supermarket Type1
1,197.21099999999998,Fruits and Vegetables,0.024454052,14.15,2002,OUT045,Tier 2,,Supermarket Type1
1,55.9298,Dairy,0.0,,1985,OUT019,Tier 1,Small,Grocery Store
1,159.0262,Snack Foods,0.096730427,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,89.8856,Dairy,0.097198194,17.6,2004,OUT035,Tier 2,Small,Supermarket Type1
1,188.4214,Fruits and Vegetables,0.066005186,19.0,2007,OUT017,Tier 2,,Supermarket Type1
1,228.7352,Canned,0.030890617999999998,8.42,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,195.8136,Baking Goods,0.028498354,9.3,1987,OUT013,Tier 3,High,Supermarket Type1
0,213.2902,Snack Foods,0.033883448,19.75,2004,OUT035,Tier 2,Small,Supermarket Type1
0,185.324,Fruits and Vegetables,0.06656564400000001,6.78,1987,OUT013,Tier 3,High,Supermarket Type1
0,116.2492,Health and Hygiene,0.169943195,,1985,OUT019,Tier 1,Small,Grocery Store
0,263.591,Soft Drinks,0.0,17.25,2002,OUT045,Tier 2,,Supermarket Type1
1,215.0218,Canned,0.08476519199999999,15.3,1997,OUT046,Tier 1,Small,Supermarket Type1
1,168.27900000000002,Canned,0.027617046,15.7,1997,OUT046,Tier 1,Small,Supermarket Type1
0,121.7072,Snack Foods,0.052166995,17.85,2004,OUT035,Tier 2,Small,Supermarket Type1
1,184.2608,Dairy,0.0,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,104.0332,Household,0.038460297000000004,15.3,1998,OUT010,Tier 3,,Grocery Store
0,166.9474,Fruits and Vegetables,0.025789175,16.25,2002,OUT045,Tier 2,,Supermarket Type1
1,185.1266,Canned,0.161301097,15.0,1987,OUT013,Tier 3,High,Supermarket Type1
0,116.1492,Hard Drinks,0.034640466,13.85,2002,OUT045,Tier 2,,Supermarket Type1
0,89.1856,Dairy,0.0,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,77.3012,Fruits and Vegetables,0.064307102,13.8,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,153.9656,Household,0.076036381,7.475,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,228.601,Frozen Foods,0.071091591,18.7,2007,OUT017,Tier 2,,Supermarket Type1
0,119.244,Canned,0.187841082,12.5,1998,OUT010,Tier 3,,Grocery Store
0,38.3164,Starchy Foods,0.043234574000000005,15.85,1997,OUT046,Tier 1,Small,Supermarket Type1
0,169.5474,Fruits and Vegetables,0.026055106,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,161.3578,Snack Foods,0.109153001,20.75,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,168.37900000000002,Household,0.08062523,5.82,2004,OUT035,Tier 2,Small,Supermarket Type1
1,89.8856,Fruits and Vegetables,0.09012919999999999,5.785,1998,OUT010,Tier 3,,Grocery Store
1,195.7768,Frozen Foods,0.098938169,13.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,225.1088,Fruits and Vegetables,0.0,10.1,1987,OUT013,Tier 3,High,Supermarket Type1
0,192.1162,Health and Hygiene,0.032580547,16.75,2004,OUT035,Tier 2,Small,Supermarket Type1
0,98.9042,Meat,0.09793725199999999,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,208.5638,Fruits and Vegetables,0.0,17.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,248.9092,Snack Foods,0.020391845,7.42,1997,OUT046,Tier 1,Small,Supermarket Type1
0,113.7544,Snack Foods,0.103813029,7.51,1997,OUT046,Tier 1,Small,Supermarket Type1
0,179.6686,Canned,0.031069202999999997,,1985,OUT019,Tier 1,Small,Grocery Store
0,242.417,Snack Foods,0.062294472999999996,,1985,OUT019,Tier 1,Small,Grocery Store
1,181.195,Fruits and Vegetables,0.022914478,19.2,2004,OUT035,Tier 2,Small,Supermarket Type1
0,99.9358,Breakfast,0.152058281,18.6,1997,OUT046,Tier 1,Small,Supermarket Type1
0,59.2562,Household,0.044991294,7.105,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,199.8084,Baking Goods,0.046214970999999994,4.92,2007,OUT017,Tier 2,,Supermarket Type1
1,221.5798,Canned,0.13312044,11.0,2004,OUT035,Tier 2,Small,Supermarket Type1
0,84.4224,Health and Hygiene,0.255348289,7.68,1998,OUT010,Tier 3,,Grocery Store
0,181.3976,Frozen Foods,0.036879538999999996,13.15,2007,OUT017,Tier 2,,Supermarket Type1
1,182.995,Baking Goods,0.044202545,7.52,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,162.1236,Frozen Foods,0.137858955,8.895,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,126.7704,Dairy,0.037668051,4.805,1987,OUT013,Tier 3,High,Supermarket Type1
0,112.7886,Fruits and Vegetables,0.224837308,,1985,OUT019,Tier 1,Small,Grocery Store
0,62.751000000000005,Fruits and Vegetables,0.089069748,7.785,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,86.0224,Canned,0.053027397999999996,8.975,2007,OUT017,Tier 2,,Supermarket Type1
0,262.89099999999996,Household,0.118099673,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,182.9292,Frozen Foods,0.0,9.3,2007,OUT017,Tier 2,,Supermarket Type1
0,263.7568,Dairy,0.137023446,10.895,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,220.9456,Baking Goods,0.026950104,15.0,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,224.4404,Health and Hygiene,0.0,12.15,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,180.3976,Fruits and Vegetables,0.119362812,16.7,1987,OUT013,Tier 3,High,Supermarket Type1
1,257.3304,Snack Foods,0.067350054,15.1,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,157.7972,Household,0.0,8.02,1987,OUT013,Tier 3,High,Supermarket Type1
1,78.2644,Fruits and Vegetables,0.049712775,19.35,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,119.7466,Frozen Foods,0.12220809099999999,20.7,2007,OUT017,Tier 2,,Supermarket Type1
0,147.476,Snack Foods,0.138742518,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,114.586,Soft Drinks,0.070780558,4.59,1997,OUT046,Tier 1,Small,Supermarket Type1
0,95.5094,Fruits and Vegetables,0.037492325,18.1,1998,OUT010,Tier 3,,Grocery Store
0,185.1608,Health and Hygiene,0.053527105,12.85,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,34.0532,Health and Hygiene,0.076164013,16.75,2007,OUT017,Tier 2,,Supermarket Type1
1,154.463,Snack Foods,0.009995002,14.85,2007,OUT017,Tier 2,,Supermarket Type1
0,149.1076,Baking Goods,0.08259502,8.235,2002,OUT045,Tier 2,,Supermarket Type1
0,131.3626,Breakfast,0.063122753,6.425,1987,OUT013,Tier 3,High,Supermarket Type1
0,83.4908,Fruits and Vegetables,0.105597316,6.59,1997,OUT046,Tier 1,Small,Supermarket Type1
1,247.0092,Fruits and Vegetables,0.021863506,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,123.0414,Health and Hygiene,0.063800266,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,163.0526,Household,0.006012413,6.36,2007,OUT017,Tier 2,,Supermarket Type1
1,89.383,Baking Goods,0.06320719799999999,17.35,2007,OUT017,Tier 2,,Supermarket Type1
0,90.5146,Household,0.069809115,8.6,2007,OUT017,Tier 2,,Supermarket Type1
0,96.541,Frozen Foods,0.011660463000000001,17.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,171.9448,Starchy Foods,0.142410775,7.6,1997,OUT046,Tier 1,Small,Supermarket Type1
0,48.7718,Dairy,0.024226902,19.6,1997,OUT046,Tier 1,Small,Supermarket Type1
0,61.3194,Household,0.082440705,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,184.2292,Frozen Foods,0.066918731,9.3,2002,OUT045,Tier 2,,Supermarket Type1
0,91.4462,Household,0.07439000700000001,20.2,2002,OUT045,Tier 2,,Supermarket Type1
1,171.179,Fruits and Vegetables,0.005530516,11.35,1997,OUT046,Tier 1,Small,Supermarket Type1
0,90.3146,Snack Foods,0.028579565,16.5,2007,OUT017,Tier 2,,Supermarket Type1
0,165.0842,Household,0.038705317,17.1,1987,OUT013,Tier 3,High,Supermarket Type1
1,53.1298,Baking Goods,0.0,4.88,2004,OUT035,Tier 2,Small,Supermarket Type1
0,148.7076,Snack Foods,0.10800453199999999,10.195,2007,OUT017,Tier 2,,Supermarket Type1
1,223.2404,Meat,0.023626808,12.8,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,180.4002,Fruits and Vegetables,0.070660449,,1985,OUT019,Tier 1,Small,Grocery Store
1,258.5646,Fruits and Vegetables,0.078719835,8.05,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,178.0344,Snack Foods,0.046208155,20.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,39.9822,Meat,0.012769753,6.32,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,131.2626,Baking Goods,0.048486800999999996,5.465,1987,OUT013,Tier 3,High,Supermarket Type1
0,226.2062,Frozen Foods,0.132596101,18.25,1998,OUT010,Tier 3,,Grocery Store
1,102.0332,Baking Goods,0.128459481,14.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,57.5562,Household,0.161317495,15.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,166.9184,Household,0.011211251,9.6,1998,OUT010,Tier 3,,Grocery Store
1,94.9436,Dairy,0.11429451199999999,20.7,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,159.9578,Fruits and Vegetables,0.031103357,6.055,1997,OUT046,Tier 1,Small,Supermarket Type1
0,165.05,Fruits and Vegetables,0.08527498800000001,5.655,1997,OUT046,Tier 1,Small,Supermarket Type1
0,186.424,Fruits and Vegetables,0.066892471,6.78,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,241.3854,Dairy,0.078764059,,1985,OUT019,Tier 1,Small,Grocery Store
1,244.4486,Frozen Foods,0.036042938999999996,6.865,2007,OUT017,Tier 2,,Supermarket Type1
1,188.4898,Snack Foods,0.04855968,6.61,1998,OUT010,Tier 3,,Grocery Store
0,120.9756,Baking Goods,0.082602127,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,121.9414,Health and Hygiene,0.064240743,12.6,2002,OUT045,Tier 2,,Supermarket Type1
0,160.3578,Fruits and Vegetables,0.031230058999999998,6.055,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,188.3898,Household,0.100114941,20.2,2002,OUT045,Tier 2,,Supermarket Type1
1,168.8816,Snack Foods,0.22417463,,1985,OUT019,Tier 1,Small,Grocery Store
0,40.5138,Soft Drinks,0.035943717,14.15,1997,OUT046,Tier 1,Small,Supermarket Type1
1,184.4292,Breakfast,0.06619442,16.5,1987,OUT013,Tier 3,High,Supermarket Type1
1,61.0536,Fruits and Vegetables,0.07143905099999999,13.3,2004,OUT035,Tier 2,Small,Supermarket Type1
0,181.7634,Snack Foods,0.108059141,9.195,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,207.5954,Frozen Foods,0.026216144,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,168.6816,Snack Foods,0.085938463,9.0,2004,OUT035,Tier 2,Small,Supermarket Type1
1,207.898,Meat,0.008734284,15.7,2004,OUT035,Tier 2,Small,Supermarket Type1
0,128.7336,Household,0.049016517,18.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,59.821999999999996,Snack Foods,0.111554381,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,253.1724,Snack Foods,0.030672457,15.7,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,107.1596,Meat,0.07799564099999999,9.195,1987,OUT013,Tier 3,High,Supermarket Type1
0,146.6076,Frozen Foods,0.08571527300000001,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,234.93,Breakfast,0.05643278400000001,13.85,2002,OUT045,Tier 2,,Supermarket Type1
0,61.451,Household,0.066200667,20.2,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,172.2764,Seafood,0.24554262699999999,,1985,OUT019,Tier 1,Small,Grocery Store
1,55.5588,Snack Foods,0.012751700000000001,13.65,1997,OUT046,Tier 1,Small,Supermarket Type1
1,238.7248,Meat,0.07794933400000001,15.0,1987,OUT013,Tier 3,High,Supermarket Type1
0,36.0848,Household,0.06402288099999999,10.695,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,109.15700000000001,Dairy,0.182407266,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,54.864,Frozen Foods,0.136328794,14.0,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,210.0586,Fruits and Vegetables,0.016958832,6.655,1997,OUT046,Tier 1,Small,Supermarket Type1
1,101.199,Canned,0.068125756,16.5,1997,OUT046,Tier 1,Small,Supermarket Type1
1,257.8304,Snack Foods,0.02734361,9.6,1997,OUT046,Tier 1,Small,Supermarket Type1
1,155.8288,Breads,0.034658144,6.55,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,89.8804,Canned,0.0,16.25,2007,OUT017,Tier 2,,Supermarket Type1
1,179.86599999999999,Snack Foods,0.065841719,15.25,1987,OUT013,Tier 3,High,Supermarket Type1
1,174.537,Canned,0.029158762999999997,9.695,2004,OUT035,Tier 2,Small,Supermarket Type1
0,74.7696,Frozen Foods,0.063649582,,1985,OUT019,Tier 1,Small,Grocery Store
0,225.0404,Dairy,0.05706009,16.0,1997,OUT046,Tier 1,Small,Supermarket Type1
0,218.3166,Breads,0.11566015,15.85,1998,OUT010,Tier 3,,Grocery Store
0,98.241,Fruits and Vegetables,0.075691713,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,193.9136,Household,0.167844438,18.85,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,224.5062,Baking Goods,0.049722335,6.215,2002,OUT045,Tier 2,,Supermarket Type1
0,167.7132,Canned,0.14095631,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,80.8618,Health and Hygiene,0.058827557,11.8,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,90.3146,Fruits and Vegetables,0.093765794,7.325,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,159.2946,Hard Drinks,0.048092816,10.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,61.9536,Fruits and Vegetables,0.018968743,15.7,2002,OUT045,Tier 2,,Supermarket Type1
0,124.973,Fruits and Vegetables,0.024032484,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,63.4484,Snack Foods,0.070444232,13.0,2002,OUT045,Tier 2,,Supermarket Type1
1,264.491,Snack Foods,0.125469442,13.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,128.9652,Soft Drinks,0.01405025,6.865,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,103.0306,Dairy,0.139436695,7.785,1987,OUT013,Tier 3,High,Supermarket Type1
1,46.9034,Fruits and Vegetables,0.016593506,17.7,2004,OUT035,Tier 2,Small,Supermarket Type1
0,93.6462,Household,0.124261614,20.2,1998,OUT010,Tier 3,,Grocery Store
0,189.5188,Canned,0.011261165,7.855,1997,OUT046,Tier 1,Small,Supermarket Type1
0,45.906000000000006,Fruits and Vegetables,0.120520818,6.36,2004,OUT035,Tier 2,Small,Supermarket Type1
1,229.4352,Snack Foods,0.015965308,17.0,1997,OUT046,Tier 1,Small,Supermarket Type1
0,163.5552,Breads,0.09638622699999999,5.78,1997,OUT046,Tier 1,Small,Supermarket Type1
0,187.953,Fruits and Vegetables,0.073029341,11.5,2002,OUT045,Tier 2,,Supermarket Type1
1,158.1946,Fruits and Vegetables,0.043443752999999995,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,147.3734,Fruits and Vegetables,0.049520592999999995,18.2,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,223.8062,Frozen Foods,0.079152918,18.25,1987,OUT013,Tier 3,High,Supermarket Type1
0,60.4194,Breads,0.048741487,12.6,1987,OUT013,Tier 3,High,Supermarket Type1
1,195.3794,Dairy,0.071958197,8.575,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,37.719,Fruits and Vegetables,0.162147349,18.2,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,155.2972,Canned,0.05382735,8.115,1998,OUT010,Tier 3,,Grocery Store
0,52.4324,Meat,0.069565759,12.65,2002,OUT045,Tier 2,,Supermarket Type1
0,40.0454,Frozen Foods,0.056019324,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,41.9428,Dairy,0.10991127199999999,8.775,1997,OUT046,Tier 1,Small,Supermarket Type1
1,187.7556,Breads,0.029366813,5.94,2004,OUT035,Tier 2,Small,Supermarket Type1
0,131.5284,Baking Goods,0.055347985,18.85,2004,OUT035,Tier 2,Small,Supermarket Type1
1,49.2008,Baking Goods,0.0,9.8,1987,OUT013,Tier 3,High,Supermarket Type1
1,238.3538,Fruits and Vegetables,0.156926608,12.65,2007,OUT017,Tier 2,,Supermarket Type1
0,149.8366,Household,0.039405676,20.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,55.2614,Hard Drinks,0.17017651600000003,14.65,1987,OUT013,Tier 3,High,Supermarket Type1
0,222.8456,Frozen Foods,0.033777628999999997,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,55.8956,Snack Foods,0.057546914000000005,15.85,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,61.5194,Fruits and Vegetables,0.16009590099999998,17.25,2007,OUT017,Tier 2,,Supermarket Type1
1,87.4856,Frozen Foods,0.09983272800000001,16.0,2007,OUT017,Tier 2,,Supermarket Type1
0,40.2822,Meat,0.012717946,6.32,1997,OUT046,Tier 1,Small,Supermarket Type1
0,86.7882,Household,0.09027863400000001,6.525,2004,OUT035,Tier 2,Small,Supermarket Type1
0,191.882,Starchy Foods,0.0,6.695,1987,OUT013,Tier 3,High,Supermarket Type1
1,157.963,Snack Foods,0.009958940999999999,14.85,2002,OUT045,Tier 2,,Supermarket Type1
0,150.7392,Frozen Foods,0.032678839,17.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,115.0176,Fruits and Vegetables,0.0,10.3,1987,OUT013,Tier 3,High,Supermarket Type1
0,179.166,Baking Goods,0.077849003,19.7,1987,OUT013,Tier 3,High,Supermarket Type1
1,73.5038,Snack Foods,0.011443222,10.695,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,177.1054,Household,0.031214809,7.285,2002,OUT045,Tier 2,,Supermarket Type1
0,127.3678,Household,0.051146565,17.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,198.0084,Snack Foods,0.015302653000000001,18.25,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,106.7622,Snack Foods,0.04937018,5.175,1998,OUT010,Tier 3,,Grocery Store
0,148.705,Baking Goods,0.0,5.635,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,155.5998,Snack Foods,0.23643360100000002,6.035,1998,OUT010,Tier 3,,Grocery Store
0,191.4846,Meat,0.081372267,14.8,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,111.65700000000001,Dairy,0.18329488,18.25,1997,OUT046,Tier 1,Small,Supermarket Type1
1,179.4318,Dairy,0.06358934,16.1,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,170.4106,Dairy,0.060792265,16.75,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,184.3924,Starchy Foods,0.0,17.7,1997,OUT046,Tier 1,Small,Supermarket Type1
0,208.92700000000002,Household,0.098775709,8.88,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,38.319,Fruits and Vegetables,0.270300331,18.2,1998,OUT010,Tier 3,,Grocery Store
0,44.9744,Dairy,0.119852889,11.15,1987,OUT013,Tier 3,High,Supermarket Type1
0,45.3086,Baking Goods,0.034563936,20.0,2007,OUT017,Tier 2,,Supermarket Type1
0,263.091,Household,0.031710329,7.935,1987,OUT013,Tier 3,High,Supermarket Type1
0,110.7228,Dairy,0.074778547,20.1,2002,OUT045,Tier 2,,Supermarket Type1
1,114.7834,Fruits and Vegetables,0.013035608999999998,13.65,2004,OUT035,Tier 2,Small,Supermarket Type1
1,36.7506,Frozen Foods,0.046277955999999995,6.635,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,226.1062,Frozen Foods,0.07937949999999999,18.25,2002,OUT045,Tier 2,,Supermarket Type1
0,66.0142,Others,0.073783159,11.15,2007,OUT017,Tier 2,,Supermarket Type1
0,185.6608,Household,0.01572192,19.5,2004,OUT035,Tier 2,Small,Supermarket Type1
0,148.2076,Snack Foods,0.033952603,6.48,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,102.7648,Baking Goods,0.10522002400000001,11.15,1987,OUT013,Tier 3,High,Supermarket Type1
0,125.8678,Frozen Foods,0.09571560800000001,5.985,1987,OUT013,Tier 3,High,Supermarket Type1
0,99.3384,Health and Hygiene,0.046822808,7.27,2007,OUT017,Tier 2,,Supermarket Type1
1,227.5694,Fruits and Vegetables,0.0,6.78,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,50.7666,Frozen Foods,0.04731256,9.195,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,232.8958,Soft Drinks,0.077108099,19.5,1987,OUT013,Tier 3,High,Supermarket Type1
0,83.9908,Fruits and Vegetables,0.10602747400000001,6.59,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,229.601,Fruits and Vegetables,0.01742908,7.51,1997,OUT046,Tier 1,Small,Supermarket Type1
0,254.1014,Household,0.073229342,,1985,OUT019,Tier 1,Small,Grocery Store
0,215.0192,Frozen Foods,0.157257637,,1985,OUT019,Tier 1,Small,Grocery Store
0,55.7298,Frozen Foods,0.039988162,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,220.0798,Meat,0.081119484,12.5,2004,OUT035,Tier 2,Small,Supermarket Type1
0,123.773,Health and Hygiene,0.052421981,17.0,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,46.4086,Health and Hygiene,0.070791391,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,53.5324,Meat,0.069817659,12.65,2007,OUT017,Tier 2,,Supermarket Type1
1,82.7592,Fruits and Vegetables,0.10997157800000001,12.5,2004,OUT035,Tier 2,Small,Supermarket Type1
1,184.2292,Meat,0.09195097199999999,18.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,218.4798,Canned,0.133145617,11.0,1997,OUT046,Tier 1,Small,Supermarket Type1
0,248.6776,Household,0.046609280999999995,,1985,OUT019,Tier 1,Small,Grocery Store
0,40.5454,Fruits and Vegetables,0.028652919,7.35,2002,OUT045,Tier 2,,Supermarket Type1
0,264.5568,Dairy,0.136696892,10.895,1987,OUT013,Tier 3,High,Supermarket Type1
1,165.3184,Canned,0.012002075,17.2,1987,OUT013,Tier 3,High,Supermarket Type1
1,83.7934,Baking Goods,0.025513973,15.5,2007,OUT017,Tier 2,,Supermarket Type1
0,229.4694,Hard Drinks,0.06419430400000001,7.905,2002,OUT045,Tier 2,,Supermarket Type1
0,45.006,Soft Drinks,0.013920031999999999,9.8,2007,OUT017,Tier 2,,Supermarket Type1
1,79.2276,Frozen Foods,0.079251097,11.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,59.422,Baking Goods,0.121043709,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,60.1194,Breads,0.048545853,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,159.7894,Household,0.091467933,5.825,2004,OUT035,Tier 2,Small,Supermarket Type1
0,196.3426,Fruits and Vegetables,0.0,16.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,141.8128,Hard Drinks,0.020916223,14.7,2004,OUT035,Tier 2,Small,Supermarket Type1
0,141.9154,Soft Drinks,0.0,11.6,2004,OUT035,Tier 2,Small,Supermarket Type1
0,155.16299999999998,Snack Foods,0.104768536,16.75,1987,OUT013,Tier 3,High,Supermarket Type1
0,197.2742,Breads,0.020680498999999998,12.5,1987,OUT013,Tier 3,High,Supermarket Type1
1,253.0356,Dairy,0.123727659,12.6,1998,OUT010,Tier 3,,Grocery Store
0,117.6124,Household,0.16380550900000002,12.35,1987,OUT013,Tier 3,High,Supermarket Type1
0,93.0804,Baking Goods,0.065082452,13.35,2002,OUT045,Tier 2,,Supermarket Type1
1,165.65,Baking Goods,0.18212836300000002,,1985,OUT019,Tier 1,Small,Grocery Store
1,223.4772,Fruits and Vegetables,0.01871404,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,129.3336,Hard Drinks,0.159096908,,1985,OUT019,Tier 1,Small,Grocery Store
1,166.85,Baking Goods,0.103935018,6.63,1987,OUT013,Tier 3,High,Supermarket Type1
1,188.4898,Snack Foods,0.029129907000000003,6.61,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,166.8816,Snack Foods,0.128011859,19.6,2004,OUT035,Tier 2,Small,Supermarket Type1
1,234.53,Dairy,0.11985054099999999,13.6,2007,OUT017,Tier 2,,Supermarket Type1
0,252.5724,Snack Foods,0.073985248,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,197.511,Meat,0.027233781000000002,19.25,2007,OUT017,Tier 2,,Supermarket Type1
0,86.7882,Soft Drinks,0.079440262,,1985,OUT019,Tier 1,Small,Grocery Store
1,168.7132,Baking Goods,0.060022526,20.0,2002,OUT045,Tier 2,,Supermarket Type1
0,217.0824,Canned,0.02110482,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,161.0578,Snack Foods,0.18195852399999998,20.75,1998,OUT010,Tier 3,,Grocery Store
0,114.8834,Snack Foods,0.058222587,7.235,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,36.6874,Health and Hygiene,0.054723717000000005,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,187.72400000000002,Fruits and Vegetables,0.066724663,6.78,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,146.3076,Frozen Foods,0.144167934,7.3,1998,OUT010,Tier 3,,Grocery Store
0,188.753,Household,0.052458358,12.3,1987,OUT013,Tier 3,High,Supermarket Type1
